Province;Occitanie;Midi-Pyrénées;Toulouse;Ariège;09279;09279;09279;C09279;SALSEIN;SALSEIN;Salsein;;SO;CR09279;Salsein;;;ZE7622;09;D009;Ariège (09);09 - Ariège;Q3184;mjby9;16;A16;;4o1da;76;R76;Q18678265;zr89s;73;R73;FD111;FR11;FE1;SO;SO;;AU000;C09279;Salsein;200067940;CC Couserans-Pyrénées;CR09279;Salsein;;;42.903701185, 1.000580712;;;;;;
Province;Occitanie;Midi-Pyrénées;Toulouse;Ariège;09286;09286;09286;C09286;SEM;SEM;Sem;;SO;SO;Sem;;;SO;09;D009;Ariège (09);09 - Ariège;Q3184;mjby9;16;A16;;4o1da;76;R76;Q18678265;zr89s;73;R73;FD111;FR11;FE1;SO;SO;SO;SO;SO;SO;SO;SO;SO;Sem;;;42.756575625, 1.523145866;;2019-01-01;;;09334;2019-01-01
Province;Occitanie;Midi-Pyrénées;Toulouse;Ariège;09301;09301;09301;C09301;SOULAN;SOULAN;Soulan;;SO;CR09301;Soulan;;;ZE7622;09;D009;Ariège (09);09 - Ariège;Q3184;mjby9;16;A16;;4o1da;76;R76;Q18678265;zr89s;73;R73;FD111;FR11;FE1;SO;SO;;AU000;C09301;Soulan;200067940;CC Couserans-Pyrénées;CR09301;Soulan;;;42.915898277, 1.243189568;;;;;;
Province;Occitanie;Midi-Pyrénées;Toulouse;Ariège;09319;09319;09319;C09319;UNZENT;UNZENT;Unzent;;SO;CR09319;Unzent;;;ZE7612;09;D009;Ariège (09);09 - Ariège;Q3184;mjby9;16;A16;;4o1da;76;R76;Q18678265;zr89s;73;R73;FD111;FR11;FE1;SO;SO;183;AU183;AU183;Pamiers;200066231;CC des Portes d'Ariège Pyrénées;CR09319;Unzent;;;43.171391123, 1.533057517;;;;;;
Province;Occitanie;Midi-Pyrénées;Toulouse;Ariège;09320;09320;09320;C09320;URS;URS;Urs;;SO;CR09320;Urs;;;ZE7612;09;D009;Ariège (09);09 - Ariège;Q3184;mjby9;16;A16;;4o1da;76;R76;Q18678265;zr89s;73;R73;FD111;FR11;FE1;SO;SO;;AU000;C09320;Urs;200066363;CC de la Haute Ariège;CR09320;Urs;;;42.777909298, 1.734865802;;;;;;
Province;Occitanie;Midi-Pyrénées;Toulouse;Ariège;09321;09321;09321;C09321;USSAT;USSAT;Ussat;09201;UU09201;UU09201;Tarascon-sur-Ariège;;;ZE7612;09;D009;Ariège (09);09 - Ariège;Q3184;mjby9;16;A16;;4o1da;76;R76;Q18678265;zr89s;73;R73;FD111;FR11;FE1;UU09201;SO;552;AU552;AU552;Tarascon-sur-Ariège;240900431;CC du Pays de Tarascon;UU09201;Tarascon-sur-Ariège;;;42.834241699, 1.621388848;;;;;;
Province;Occitanie;Midi-Pyrénées;Toulouse;Ariège;09328;09328;09328;C09328;VERDUN;VERDUN;Verdun;;SO;CR09328;Verdun;;;ZE7612;09;D009;Ariège (09);09 - Ariège;Q3184;mjby9;16;A16;;4o1da;76;R76;Q18678265;zr89s;73;R73;FD111;FR11;FE1;SO;SO;;AU000;C09328;Verdun;200066363;CC de la Haute Ariège;CR09328;Verdun;;;42.806251542, 1.692594543;;;;;;
Province;Occitanie;Midi-Pyrénées;Toulouse;Ariège;09340;09340;09340;C09340;VIRA;VIRA;Vira;;SO;CR09340;Vira;;;ZE7612;09;D009;Ariège (09);09 - Ariège;Q3184;mjby9;16;A16;;4o1da;76;R76;Q18678265;zr89s;73;R73;FD111;FR11;FE1;SO;SO;;AU997;C09340;Vira;200067791;CA Pays Foix-Varilhes;CR09340;Vira;;;43.047987248, 1.757441153;;;;;;
Province;Occitanie;Languedoc-Roussillon;Montpellier;Aude;11238;11238;11238;C11238;MOLLEVILLE;MOLLEVILLE;Molleville;;SO;CR11238;Molleville;;;ZE7608;11;D011;Aude (11);11 - Aude;Q3207;1503y;11;A11;;htwz8;76;R76;Q18678265;zr89s;91;R91;FD111;FR11;FE1;SO;SO;004;AU004;AU004;Toulouse;200035855;CC Castelnaudary Lauragais Audois;CR11238;Molleville;;;43.312430541, 1.835235075;;;;;;
Province;Occitanie;Languedoc-Roussillon;Montpellier;Aude;11240;11240;11240;C11240;MONTAZELS;MONTAZELS;Montazels;11114;UU11114;UU11114;Espéraza;;;ZE7608;11;D011;Aude (11);11 - Aude;Q3207;1503y;11;A11;;htwz8;76;R76;Q18678265;zr89s;91;R91;FD111;FR11;FE1;UU11112;UU11108;;AU000;C11240;Montazels;200071926;CC du Limouxin;UU11114;Espéraza;;;42.951700838, 2.243771224;;;;;;
